iter	Passed	Remaining
0	1	113
1	2	101
2	2	95
3	3	87
4	4	85
5	5	85
6	7	94
7	8	94
8	9	92
9	10	90
10	10	88
11	12	88
12	12	86
13	13	85
14	14	83
15	15	81
16	16	80
17	17	79
18	18	78
19	19	76
20	20	76
21	21	76
22	22	76
23	23	74
24	24	73
25	25	72
26	26	71
27	27	70
28	28	70
29	29	69
30	30	68
31	31	67
32	33	67
33	34	67
34	35	66
35	36	65
36	37	64
37	38	63
38	39	62
39	40	61
40	41	60
41	42	58
42	43	57
43	44	56
44	45	55
45	46	54
46	47	53
47	48	52
48	49	51
49	50	50
50	52	50
51	53	49
52	54	48
53	55	47
54	55	45
55	56	44
56	57	43
57	58	42
58	59	41
59	61	40
60	62	39
61	63	38
62	64	37
63	65	36
64	66	35
65	67	34
66	68	33
67	69	32
68	70	31
69	71	30
70	72	29
71	73	28
72	74	27
73	75	26
74	76	25
75	77	24
76	78	23
77	79	22
78	80	21
79	81	20
80	82	19
81	83	18
82	84	17
83	85	16
84	86	15
85	88	14
86	89	13
87	90	12
88	91	11
89	92	10
90	93	9
91	94	8
92	95	7
93	96	6
94	97	5
95	98	4
96	99	3
97	100	2
98	102	1
99	103	0
