iter	Passed	Remaining
0	163	163452
1	166	82956
2	169	56234
3	173	43102
4	175	35013
5	178	29622
6	181	25691
7	183	22740
8	184	20349
9	189	18735
10	192	17284
11	194	16006
12	195	14830
13	196	13822
14	197	12957
15	198	12213
16	203	11754
17	205	11231
18	207	10735
19	208	10229
20	210	9827
21	212	9437
22	213	9081
23	214	8743
24	217	8494
25	219	8222
26	220	7948
27	221	7689
28	222	7463
29	223	7242
30	225	7036
31	226	6838
32	227	6656
33	228	6484
34	229	6324
35	231	6187
36	232	6047
37	233	5912
38	234	5777
39	235	5651
40	236	5532
41	237	5416
42	238	5303
43	238	5192
44	239	5089
45	240	4988
46	241	4892
47	242	4800
48	242	4713
49	243	4629
50	244	4548
51	246	4488
52	247	4430
53	248	4360
54	249	4291
55	250	4223
56	251	4157
57	251	4092
58	252	4029
59	253	3969
60	254	3910
61	254	3856
62	255	3801
63	256	3749
64	257	3701
65	258	3653
66	258	3605
67	259	3559
68	261	3524
69	262	3489
70	263	3447
71	264	3409
72	265	3368
73	266	3329
74	266	3290
75	267	3252
76	268	3215
77	268	3179
78	269	3144
79	270	3109
80	271	3076
81	271	3044
82	272	3009
83	273	2978
84	273	2949
85	274	2921
86	276	2896
87	277	2874
88	278	2848
89	279	2822
90	279	2795
91	280	2769
92	281	2743
93	282	2718
94	282	2694
95	283	2670
96	284	2646
97	284	2622
98	285	2601
99	286	2579
100	287	2557
101	287	2535
102	288	2513
103	289	2493
104	291	2480
105	292	2464
106	293	2445
107	293	2426
108	294	2408
109	295	2389
110	296	2371
111	296	2352
112	297	2335
113	298	2317
114	298	2300
115	299	2284
116	300	2266
117	301	2250
118	301	2233
119	302	2218
120	303	2202
121	303	2186
122	304	2171
123	306	2163
124	307	2152
125	308	2138
126	309	2124
127	310	2111
128	333	2251
129	334	2237
130	336	2229
131	338	2226
132	341	2223
133	343	2222
134	345	2216
135	347	2210
136	349	2203
137	351	2196
138	354	2196
139	356	2187
140	357	2176
141	358	2165
142	359	2157
143	361	2148
144	362	2139
145	364	2130
146	365	2122
147	369	2124
148	370	2118
149	372	2110
150	373	2100
151	375	2092
152	376	2083
153	377	2074
154	378	2064
155	380	2056
156	381	2046
157	384	2048
158	385	2041
159	387	2033
160	387	2021
161	389	2012
162	389	2002
163	390	1991
164	391	1982
165	392	1972
166	393	1962
167	394	1953
168	395	1943
169	396	1934
170	397	1927
171	399	1922
172	400	1915
173	401	1907
174	402	1899
175	403	1889
176	404	1880
177	405	1871
178	406	1862
179	406	1853
180	407	1843
181	408	1835
182	409	1826
183	409	1818
184	410	1810
185	413	1810
186	414	1803
187	415	1795
188	416	1787
189	417	1779
190	418	1771
191	418	1762
192	419	1755
193	420	1748
194	421	1740
195	422	1733
196	423	1725
197	424	1718
198	424	1710
199	425	1703
200	429	1706
201	430	1700
202	431	1693
203	432	1686
204	433	1680
205	434	1673
206	434	1665
207	435	1658
208	436	1650
209	437	1643
210	437	1637
211	438	1630
212	439	1624
213	440	1617
214	441	1611
215	443	1611
216	445	1606
217	445	1599
218	446	1593
219	447	1587
220	448	1580
221	449	1574
222	449	1567
223	450	1561
224	451	1555
225	452	1548
226	453	1543
227	453	1537
228	455	1531
229	455	1526
230	456	1520
231	457	1516
232	459	1512
233	460	1507
234	461	1502
235	462	1496
236	462	1490
237	463	1484
238	464	1478
239	465	1473
240	466	1467
241	466	1462
242	467	1457
243	468	1452
244	469	1447
245	470	1441
246	471	1436
247	472	1432
248	473	1429
249	474	1424
250	475	1419
251	476	1414
252	477	1409
253	478	1404
254	478	1398
255	479	1393
256	480	1388
257	481	1383
258	482	1379
259	483	1374
260	483	1370
261	484	1365
262	485	1360
263	486	1355
264	487	1352
265	489	1350
266	490	1346
267	491	1342
268	492	1337
